CO,Gid,NUMID,Lat,Lon,City,ADMIN,Near,Distance,share,ag,nonag,VFI,KAC
UG,UG73,73,0.947,33.12,Kamuli,3353,UG21,70, . , . , . ,0,2
UG,UG74,74,1.145,33.709,Pallisa,3393,UG2466,52, . , . , . ,0,2
UG,UG76,76,3.361,31.81,Adjumani,3323,UG19,152, . , . , . ,0,2
UG,UG77,77,2.476,31.103,Nebbi,3389,UG19,177, . , . , . ,0,2
UG,UG78,78,0.916,31.774,Kiboga,3361,UG26,74, . , . , . ,0,2
UG,UG79,79,1.309,32.456,Nakasongola,3387,UG21,66, . , . , . ,0,2
UG,UG81,81,1.674,31.715,Masindi,3375,UG19,130, . , . , . ,0,2
UG,UG82,82,0.671,30.275,Fort Portal,3348,UG29,169, . , . , . ,0,2
UG,UG83,83,0.8,31.067,Kibale,3360,UG26,131, . , . , . ,0,2
UG,UG86,86,1.891,33.966,Katakwi,3358,UG2456,45, . , . , . ,0,2
UG,UG94,94,-0.879,30.264,Ntungamo,3390,UG29,135, . , . , . ,0,2
UG,UG95,95,-1.354,29.698,Kisoro,3363,UG29,215, . , . , . ,0,2
ZM,ZM2313,2313,-9.78,29.08,Kawambwa,3885,ZM2316,239, . , . , . ,0,2
ZM,ZM2314,2314,-9.35,28.73,Nchelenge,3835,ZM2316,289, . , . , . ,0,2
ZM,ZM2315,2315,-10.55,32.06,Chinsali,3838,ZM2316,106, . , . , . ,0,2
ZM,ZM2317,2317,-13.97,28.66,Kapiri Mposhi,3832,ZM6280,141, . , . , . ,0,2
ZM,ZM2318,2318,-14.98,27.07,Mumbwa,3832,ZM10,145, . , . , . ,0,2
ZM,ZM2321,2321,-14.55,30.81,Nyimba,3834,ZM2323,229, . , . , . ,0,2
ZM,ZM2322,2322,-12.29,33.17,Lundazi,3834,ZM2323,164, . , . , . ,0,2
ZM,ZM2324,2324,-11.74,24.44,Mwinilunga,3837,ZM2326,224, . , . , . ,0,2
ZM,ZM2325,2325,-13.46,25.82,Kasempa,3837,ZM2326,160, . , . , . ,0,2
ZM,ZM2328,2328,-15.28,23.12,Mongu,3840,ZM2327,464, . , . , . ,0,2
ZM,ZM2329,2329,-14.78,24.8,Kaoma,3840,ZM2327,337, . , . , . ,0,2
ZM,ZM2330,2330,-17.47,24.3,Sesheke,3840,ZM2327,307, . , . , . ,0,2
ZM,ZM2331,2331,-14.39,23.24,Lukulu,3840,ZM2326,433, . , . , . ,0,2
ZM,ZM2332,2332,-14.99,22.68,Kalabo,3840,ZM2327,522, . , . , . ,0,2
ZM,ZM2333,2333,-16.12,23.27,Senanga,3840,ZM2327,420, . , . , . ,0,2
ZM,ZM5479,5479,-11.2,28.89,Mansa,3835,ZM2319,191, . , . , . ,0,2
ZM,ZM5480,5480,-11.83,31.46,Mpika,3838,ZM2316,188, . , . , . ,0,2
ZM,ZM5481,5481,-8.84,31.37,Mbala,3838,ZM2316,155, . , . , . ,0,2
ZM,ZM5482,5482,-13.133,28.4,Luanshya,3833,ZM6280,42, . , . , . ,0,2
ZM,ZM5483,5483,-13,28.65,Ndola,3833,ZM6280,53, . , . , . ,0,2
ZM,ZM5484,5484,-13.54,23.11,Zambezi,3837,ZM2326,398, . , . , . ,0,2
ZM,ZM5485,5485,-15.78,28.18,Kafue,3836,ZM10,41, . , . , . ,0,2
ZM,ZM5486,5486,-15.86,27.76,Mazabuka,3839,ZM12,57, . , . , . ,0,2
ZM,ZM6278,6278,-14.44,28.45,Kabwe,3832,ZM6,85, . , . , . ,0,2
ZM,ZM6281,6281,-17.86,25.86,Livingstone,3839,ZM2327,174, . , . , . ,0,2
EC,EC1,1,-1.266,-78.841,San Lorenzo,866,EC1,0, . , . , . ,0,1
MW,MW1,1,-15.931,35.893,Blantyre_2**WrongLoc,.,MW5898,90, . , . , . ,0,1
TZ,TZ10,10,-5.803,35.049,Manyoni2,3069,TZ6446,89, . , . , . ,0,1
TZ,TZ15,15,-4.223,37.567,Same2,3054,TZ2524,102, . , . , . ,0,1
TZ,TZ17,17,-5.757,32.655,Sikonge2,3069,TZ2488,183, . , . , . ,0,1
TZ,TZ19,19,-5.103,32.964,Tabora2,3069,TZ2488,103, . , . , . ,0,1
TZ,TZ2,2,-4.089,35.837,Babati2,3056,TZ6447,123, . , . , . ,0,1
TZ,TZ3,3,-6.8,39.283,Dar es Salaam**,3064,TZ3,0, . , . , . ,0,1
TZ,TZ5,5,-2.977,32.089,Geita2,3052,TZ6444,107, . , . , . ,0,1
TZ,TZ6,6,-7.92,35.72,Iringa2,3051,TZ6446,195, . , . , . ,0,1
TZ,TZ8,8,-3.785,32.413,Kahama2,3069,TZ2488,98, . , . , . ,0,1
