CO,Gid,NUMID,Lat,Lon,City,ADMIN,Near,Distance,share,ag,nonag,VFI,KAC
ET,ET5962,5962,5.317,39.583,Nagele,964,ET9,180, . , . , . ,0,2
ET,ET5963,5963,5.95,43.45,Gode,966,ET5961,549, . , . , . ,0,2
ET,ET5964,5964,4.183,42.083,Dolo Bay,966,ET9,485, . , . , . ,0,2
ET,ET6606,6606,11.6,37.383,Bahir Dar,959,ET17,202, . , . , . ,0,2
ET,ET6607,6607,13.5,39.47,Mekele,967,ET5955,271, . , . , . ,0,2
ET,ET6608,6608,9.59,41.86,Dire Dawa,961,ET29,223, . , . , . ,0,2
ET,ET6993,6993,12.61,37.46,Gonder,959,ET5955,294, . , . , . ,0,2
MW,MW2737,2737,-9.933,33.933,Karonga,1675,MW6561,173, . , . , . ,0,2
MW,MW2804,2804,-9.716,33.267,Chitipa,1672,MW6561,215, . , . , . ,0,2
MW,MW2806,2806,-12.916,34.3,Nkhotakota,1686,MW4,92, . , . , . ,0,2
MW,MW2811,2811,-14.46,35.27,Mangochi,1680,MW307,105, . , . , . ,0,2
MW,MW2812,2812,-13.783,34.433,Salima,1692,MW307,68, . , . , . ,0,2
MW,MW305,305,-11.9,33.6,Mzimba,1684,MW6561,68, . , . , . ,0,2
MW,MW306,306,-14.967,35.517,Machinga,1689,MW5898,54, . , . , . ,0,2
MW,MW308,308,-13.8,32.9,Mchinji,1681,MW6968,101, . , . , . ,0,2
MW,MW309,309,-14.817,34.633,Ntcheu,1688,MW307,62, . , . , . ,0,2
MW,MW311,311,-16.917,35.267,Nsanje,1687,MW6562,134, . , . , . ,0,2
MW,MW312,312,-15.617,34.517,Mwanza,1683,MW6562,56, . , . , . ,0,2
MW,MW313,313,-16.033,35.5,Mulanje,1682,MW6562,63, . , . , . ,0,2
MW,MW5897,5897,-16.55,35.133,Chiromo,1687,MW6562,90, . , . , . ,0,2
TZ,TZ231,231,-5.063,39.726,Wete,3062,TZ5787,71, . , . , . ,0,2
